,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
312,ENEV3,50.02,21.91,2.19,46.08,0.0,1.041,10.6,16.09,-3.29,20.52,13.53,0.2864,0.2098,1.9,0.0797,0.0997,73031900.0,7227790000.0,0.93,0.1861,0.2864
313,EQPA7,5.75,21.97,3.78,22.73,0.026099999999999998,1.106,4.82,9.78,-3.29,11.43,9.15,0.2324,0.1035,2.61,0.1431,0.1723,8043.91,3356070000.0,1.2,0.0741,0.2324
314,EQPA5,5.8,22.16,3.82,22.93,0.0207,1.116,4.86,9.87,-3.32,11.51,9.22,0.2324,0.1035,2.61,0.1431,0.1723,5793.88,3356070000.0,1.2,0.0741,0.2324
315,AFLT3,10.19,27.05,2.85,167.16,0.0642,2.716,7.7,27.42,8.42,24.73,24.73,0.6095,0.6179,20.69,0.1365,0.1055,35493.4,225320000.0,0.0,0.107,0.6095
316,ENGI3,13.25,28.58,3.93,12.26,0.0091,0.572,36.53,10.74,-1.0,17.56,11.47,0.1141,0.0459,1.06,0.0612,0.1374,151674.0,6121330000.0,3.12,0.1436,0.1141
317,LIPR3,84.99,31.06,5.04,0.0,0.0,4.373,0.0,58.49,0.0,53.21,53.21,0.0,0.0,0.0,0.0,0.1623,32170.3,198348000.0,0.0,0.0,0.0
318,EQPA6,10.68,40.81,7.03,42.23,0.0075,2.054,8.96,18.17,-6.12,19.82,15.87,0.2324,0.1035,2.61,0.1431,0.1723,24.84,3356070000.0,1.2,0.0741,0.2324
319,REDE3,10.45,43.8,5.96,20.34,0.0123,1.052,17.3,14.8,-2.29,19.43,13.64,0.1374,0.065,1.25,0.083,0.136,17142.0,3702250000.0,2.45,0.0918,0.1374
320,CPRE3,18.23,60.96,2.13,50.11,0.0,0.804,-70.71,13.46,-1.66,17.72,9.23,0.3722,0.0877,0.92,0.0661,0.0349,839.02,4467110000.0,0.91,0.0564,0.3722
321,OMGE3,39.21,271.45,0.024418900000000004,82.49,0.0,870.216,0.114492,23.19,-0.017050799999999998,23.2,16.73,0.3557,0.0363,2.47,41.7863,8.9957,36858500.0,2731860.0,1.61,0.5817,0.3557
322,AMBP3,29.71,0.0,14.42,0.0,0.0,3.556,14.29,0.0,-12.91,0.0,0.0,0.0,0.0,2.21,0.0,0.0,22774300.0,232724000.0,2.29,0.0,0.0
323,SAPR4,5.59,7.22,1.3,17.17,0.0375,0.659,24.11,4.26,-1.85,5.66,4.81,0.4033,0.2378,1.25,0.1691,0.1803,19160600.0,6489710000.0,0.56,0.1041,0.4033
324,SAPR11,28.5,7.36,1.33,17.5,0.0361,0.672,24.58,4.34,-1.89,5.74,4.88,0.4033,0.2378,1.25,0.1691,0.1803,74641700.0,6489710000.0,0.56,0.1041,0.4033
325,SAPR3,5.75,7.42,1.34,17.66,0.0331,0.678,24.8,4.38,-1.91,5.78,4.92,0.4033,0.2378,1.25,0.1691,0.1803,2076170.0,6489710000.0,0.56,0.1041,0.4033
326,CSMG3,50.2,8.42,0.91,12.07,0.0356,0.536,6.72,4.97,-2.34,6.82,4.57,0.2429,0.1433,1.77,0.1191,0.1085,54165300.0,6968270000.0,0.47,0.076,0.2429
327,SBSP3,50.21,17.28,1.61,18.47,0.0274,0.704,-49.04,5.85,-1.6,8.07,6.07,0.3158,0.1069,0.9,0.1305,0.0934,222891000.0,21275000000.0,0.77,0.0892,0.3158
328,CASN3,12.7,87.0,7.02,79.44,0.0033,2.455,77.36,31.9,-4.87,36.31,27.03,0.2491,0.0913,1.28,0.0824,0.0807,29.53,1294270000.0,1.13,0.0812,0.2491
329,CGAS3,176.35,17.41,25.32,26.45,0.1536,2.079,20.66,11.03,-4.49,13.36,11.5,0.2398,0.1519,1.28,0.277,1.4548,2350.78,922921000.0,7.95,0.1183,0.2398
330,CGAS5,188.38,18.59,27.05,28.25,0.1522,2.22,22.06,11.78,-4.8,14.12,12.14,0.2398,0.1519,1.28,0.277,1.4548,552.92,922921000.0,7.95,0.1183,0.2398
331,PINE4,2.91,-9.23,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0552,920124.0,845022000.0,0.0,-0.0508,0.0
332,IDVL3,2.56,-1.76,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4375,259315.0,288842000.0,0.0,0.0,0.0
333,IDVL4,2.56,-1.76,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4375,42750.4,288842000.0,0.0,0.0,0.0
334,BMGB4,5.12,0.0,0.75,0.0,0.041299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600890.0,4036350000.0,0.0,0.0,0.0
