,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
0,PETR3,22.76,-8.73,1.22,10.76,0.0192,0.292,5.14,3.47,-0.52,8.04,4.57,0.3096,-0.1274,1.4,0.0966,-0.14,340388000.0,242766000000.0,2.06,-0.0008,0.3096
1,PETR4,22.22,-8.53,1.19,10.5,0.0279,0.286,5.02,3.39,-0.51,7.96,4.52,0.3096,-0.1274,1.4,0.0966,-0.14,1323950000.0,242766000000.0,2.06,-0.0008,0.3096
2,RPMG3,3.03,-1.39,-0.07,3.92,0.0,0.077,-0.08,-3.72,-0.07,-3.72,-3.72,-0.1054,-0.2811,0.49,-0.021,0.0512,357132.0,-2875230000.0,0.0,-0.0256,-0.1054
3,DMMO3,1.27,-0.49,-0.32,9.56,0.0,0.284,-0.69,-3.38,-0.17,-8.97,-22.91,-0.2831,-1.9413,0.29,-0.1201,0.6595,6088180.0,-1055770000.0,-0.61,0.0336,-0.2831
4,OSXB3,4.4,-0.03,0.0,12.89,0.0,0.007,-0.03,-1.32,0.0,-422.84,-426.67,-0.9747,-49.0786,0.03,-0.0059,0.1083,57102.3,-4737600000.0,-0.93,-0.4868,-0.9747
5,ENAT3,12.17,9.28,1.11,25.78,0.09390000000000001,0.702,2.33,10.17,14.02,5.88,2.15,0.2535,0.2779,3.55,0.1103,0.1198,20092700.0,2910700000.0,0.08,0.2898,0.2535
6,PRIO3,43.83,13.45,2.46,42.49,0.0,0.952,158.38,36.07,-2.37,50.2,9.03,0.1178,0.3158,1.03,0.0285,0.1827,135153000.0,2580170000.0,1.1,0.5108,0.1178
7,BRDT3,21.73,13.65,2.58,2.99,0.0444,0.915,3.22,23.33,-6.47,26.94,17.94,0.0128,0.0219,2.29,0.0515,0.1889,148971000.0,9813000000.0,0.94,-0.0367,0.0128
8,MMXM3,1.75,-0.06,-0.01,223.07,0.0,0.091,-0.01,-0.11,-0.01,-2.47,-2.47,-200.517,-358.053,0.03,-1.3955,0.227,40960.2,-800741000.0,-0.3,0.0946,-200.517
9,AURA32,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,6599850.0,992383000.0,0.39,0.0,0.0
10,VALE3,61.75,50.93,1.75,21.28,0.0229,0.717,6.51,5.15,-1.99,5.7,4.56,0.4135,0.0247,1.82,0.1701,0.0343,1763570000.0,186959000000.0,0.54,0.1497,0.4135
11,CSNA3,14.61,-21.03,4.88,8.42,0.021099999999999997,0.369,5.69,4.78,-0.61,11.99,8.53,0.1763,-0.025,1.29,0.0952,-0.2321,163346000.0,4153210000.0,8.91,0.1278,0.1763
12,USIM3,10.2,-14.07,0.94,9.16,0.0039000000000000003,0.476,1.99,16.27,-5.82,21.0,9.19,0.0563,-0.0494,3.14,0.0338,-0.0669,1873660.0,13572200000.0,0.46,0.1439,0.0563
13,USIM5,9.74,-13.44,0.9,8.75,0.0045000000000000005,0.455,1.9,15.54,-5.56,20.27,8.87,0.0563,-0.0494,3.14,0.0338,-0.0669,169652000.0,13572200000.0,0.46,0.1439,0.0563
14,USIM6,9.36,-12.91,0.86,8.4,0.0046,0.437,1.82,14.93,-5.34,19.66,8.61,0.0563,-0.0494,3.14,0.0338,-0.0669,349.51,13572200000.0,0.46,0.1439,0.0563
15,PMAM3,11.43,-0.53,-2.49,1.11,0.0,0.129,-0.23,-2.33,-0.2,-15.12,-48.33,-0.0475,-0.2084,0.42,-0.0667,4.6879,2186020.0,-199495000.0,-14.98,0.0044,-0.0475
16,MGEL4,5.62,-0.36,-0.07,0.56,0.0,0.083,0.29,0.53,-0.05,11.86,9.12,0.1072,-0.1658,2.23,0.2117,0.1981,71280.7,-461467000.0,-1.65,0.0734,0.1072
17,PATI3,22.25,3.86,0.77,3.92,0.008100000000000001,0.345,0.72,8.14,1.51,8.53,7.15,0.0482,0.1017,2.6,0.084,0.2005,105234.0,525461000.0,0.75,0.1507,0.0482
18,PATI4,29.0,5.03,1.01,5.11,0.0483,0.45,0.93,10.61,1.97,11.0,9.22,0.0482,0.1017,2.6,0.084,0.2005,36323.1,525461000.0,0.75,0.1507,0.0482
19,FESA4,17.88,9.61,0.92,11.47,0.0436,0.538,4.39,10.23,-4.9,12.33,5.54,0.1121,0.1196,1.68,0.0596,0.0958,4058320.0,1715960000.0,0.35,0.0791,0.1121
20,TKNO4,39.08,10.15,0.63,7.44,0.0092,0.528,1.33,12.3,1.5,9.39,5.67,0.0604,0.0732,4.37,0.0534,0.0622,642.98,182419000.0,0.02,0.1039,0.0604
21,FESA3,26.05,14.0,1.34,16.71,0.027200000000000002,0.784,6.39,14.91,-7.14,17.01,7.64,0.1121,0.1196,1.68,0.0596,0.0958,4640.02,1715960000.0,0.35,0.0791,0.1121
22,GOAU3,7.86,25.81,0.77,2.28,0.0051,0.136,0.73,4.65,-0.81,12.49,5.67,0.0491,0.0246,2.15,0.0352,0.0297,822664.0,11138400000.0,1.88,-0.0035,0.0491
23,GOAU4,8.89,29.19,0.87,2.58,0.0045000000000000005,0.154,0.83,5.26,-0.92,13.1,5.95,0.0491,0.0246,2.15,0.0352,0.0297,122758000.0,11138400000.0,1.88,-0.0035,0.0491
24,GGBR3,16.3,30.56,0.93,7.49,0.0043,0.448,2.42,15.17,-2.65,22.99,10.46,0.0493,0.0248,2.14,0.0354,0.0305,2068340.0,30051600000.0,0.7,-0.0035,0.0493
25,GGBR4,19.54,36.64,1.12,8.98,0.0036,0.537,2.9,18.19,-3.18,26.0,11.84,0.0493,0.0248,2.14,0.0354,0.0305,270107000.0,30051600000.0,0.7,-0.0035,0.0493
26,BRKM3,23.28,-1.79,-5.49,3.73,0.036000000000000004,0.219,1.88,11.36,-0.32,29.66,8.85,0.0328,-0.218,1.46,0.028,3.0676,409662.0,-3380230000.0,-14.09,0.0192,0.0328
27,BRKM5,22.71,-1.75,-5.36,3.63,0.0369,0.214,1.83,11.08,-0.31,29.38,8.76,0.0328,-0.218,1.46,0.028,3.0676,62269300.0,-3380230000.0,-14.09,0.0192,0.0328
28,BRKM6,18.0,-1.38,-4.25,2.88,0.0337,0.17,1.45,8.78,-0.25,27.08,8.08,0.0328,-0.218,1.46,0.028,3.0676,304.84,-3380230000.0,-14.09,0.0192,0.0328
29,FHER3,2.92,0.29,-0.91,1.1,0.0,0.101,0.85,-1.94,-0.16,-3.41,-5.36,-0.0565,0.3767,1.35,-0.0647,-3.1092,420291.0,-173608000.0,-0.82,-0.2967,-0.0565
30,NUTR3,160.01,0.56,1.5,2.98,0.0,0.342,1.67,-34.71,-1.28,-48.52,-314.59,-0.0086,0.534,1.68,-0.0119,2.6891,154144.0,13630000.0,0.64,0.2168,-0.0086
31,CRPG5,20.85,5.98,1.0,11.77,0.0067,0.718,1.07,9.82,1.41,7.96,5.73,0.1198,0.1969,6.48,0.0885,0.1673,148226.0,605213000.0,0.01,0.1664,0.1198
32,CRPG6,21.55,6.18,1.03,12.16,0.006500000000000001,0.742,1.11,10.15,1.46,8.29,5.96,0.1198,0.1969,6.48,0.0885,0.1673,15353.7,605213000.0,0.01,0.1664,0.1198
33,CRPG3,24.1,6.91,1.16,13.6,0.0,0.83,1.24,11.35,1.63,9.49,6.83,0.1198,0.1969,6.48,0.0885,0.1673,3815.12,605213000.0,0.01,0.1664,0.1198
34,GPCP3,57.5,12.79,1.9,4.25,0.0053,0.417,7.02,6.86,-1.08,10.04,7.24,0.0619,0.035,1.19,0.0672,0.1488,1430360.0,189388000.0,1.09,0.2164,0.0619
35,ELEK3,19.11,24.46,2.66,6.19,0.0225,1.067,3.75,52.11,-110.34,65.77,26.15,0.0119,0.0253,1.94,0.0252,0.1087,270.93,226327000.0,0.99,0.0569,0.0119
36,ELEK4,26.0,33.27,3.62,8.42,0.0165,1.452,5.1,70.89,-150.12,84.56,33.61,0.0119,0.0253,1.94,0.0252,0.1087,60.47,226327000.0,0.99,0.0569,0.0119
37,UNIP5,29.51,82.12,2.01,9.2,0.0248,0.687,6.7,9.1,-2.39,9.11,5.58,0.1011,0.0132,1.38,0.1001,0.0245,18202.3,1401020000.0,0.54,0.3453,0.1011
38,UNIP6,29.9,83.2,2.04,9.32,0.0148,0.696,6.79,9.22,-2.42,9.23,5.66,0.1011,0.0132,1.38,0.1001,0.0245,5674020.0,1401020000.0,0.54,0.3453,0.1011
39,UNIP3,35.55,98.92,2.43,11.09,0.0113,0.827,8.07,10.96,-2.87,10.98,6.72,0.1011,0.0132,1.38,0.1001,0.0245,746167.0,1401020000.0,0.54,0.3453,0.1011
40,RANI4,7.39,-69.82,5.13,21.08,0.004,1.209,16.71,12.55,-2.73,17.04,9.61,0.1679,-0.0302,1.29,0.1094,-0.0735,127425.0,369771000.0,2.13,0.0498,0.1679
41,RANI3,4.69,-44.31,3.26,13.38,0.0063,0.767,10.6,7.97,-1.73,12.46,7.02,0.1679,-0.0302,1.29,0.1094,-0.0735,9312910.0,369771000.0,2.13,0.0498,0.1679
42,KLBN3,5.55,-10.99,11.04,28.67,0.0172,0.827,2.58,13.41,-1.59,22.47,10.82,0.2138,-0.2502,5.65,0.0881,-1.0049,1704050.0,2788350000.0,11.0,0.1522,0.2138
43,KLBN11,26.18,-10.37,10.42,27.05,0.0183,0.78,2.43,12.65,-1.5,21.71,10.45,0.2138,-0.2502,5.65,0.0881,-1.0049,137529000.0,2788350000.0,11.0,0.1522,0.2138
44,KLBN4,5.16,-10.22,10.27,26.66,0.018500000000000003,0.769,2.4,12.47,-1.48,21.53,10.36,0.2138,-0.2502,5.65,0.0881,-1.0049,7463830.0,2788350000.0,11.0,0.1522,0.2138
45,MSPA3,49.5,-7.45,0.36,26.28,0.0,0.222,4.59,-8.98,-0.71,-9.68,-16.97,-0.2927,-0.3529,2.74,-0.0256,-0.049,115.12,869463000.0,0.07,-0.2565,-0.2927
46,MSPA4,48.8,-7.34,0.36,25.91,0.0,0.219,4.53,-8.85,-0.7,-9.55,-16.74,-0.2927,-0.3529,2.74,-0.0256,-0.049,924.61,869463000.0,0.07,-0.2565,-0.2927
47,SUZB3,51.76,-3.96,28.28,24.61,0.0,0.649,8.84,14.27,-0.84,28.08,12.8,0.1724,-0.6203,1.57,0.0526,-7.1328,308555000.0,2491440000.0,32.36,0.3046,0.1724
48,EUCA4,6.4,7.13,0.42,3.85,0.0,0.236,-142.32,3.6,-1.54,6.43,6.43,0.1069,0.0467,0.99,0.0701,0.0596,494455.0,1395980000.0,0.35,0.0758,0.1069
49,EUCA3,23.8,26.51,1.58,14.33,0.0,0.878,-529.25,13.4,-5.72,16.22,16.22,0.1069,0.0467,0.99,0.0701,0.0596,196086.0,1395980000.0,0.35,0.0758,0.1069
50,DTEX3,16.3,33.09,2.39,22.54,0.0229,1.028,6.5,33.76,-4.93,40.28,13.27,0.0668,0.0681,1.78,0.0382,0.0722,49811700.0,4721980000.0,0.8,0.0777,0.0668
51,MTIG4,43.11,0.94,0.34,0.75,0.0,0.082,-0.26,-2.33,-0.18,-16.57,517.86,-0.0324,0.0803,0.48,-0.0405,0.3581,1128.66,30881600.0,2.07,0.0097,-0.0324
52,RCSL4,1.46,-34.67,-1.62,57.05,0.0,2.916,-9.22,370.24,-1.2,368.39,141.04,0.0154,-0.165,0.54,0.0082,0.0467,9970420.0,-68396000.0,0.0,1.8553,0.0154
53,TUPY3,17.06,-16.26,1.04,5.84,0.0,0.407,1.44,10.4,-4.57,15.55,6.37,0.0561,-0.0359,2.2,0.0535,-0.0638,16554700.0,2370790000.0,1.05,0.0901,0.0561
54,MYPK3,11.96,-10.26,0.49,2.22,0.0555,0.155,2.39,34.03,-0.53,101.32,10.44,0.0065,-0.0134,1.21,0.0056,-0.0476,30313200.0,3762400000.0,1.34,0.0707,0.0065
55,MWET3,64.14,-3.39,-0.61,7.58,0.0,0.755,-1.04,-11.25,-0.38,-17.43,-28.2,-0.0674,-0.2236,0.25,-0.0821,0.1807,95717.6,-215261000.0,-0.35,0.0836,-0.0674
56,EMBR3,7.31,-1.31,0.34,4.82,0.0,0.096,0.31,30.97,-0.78,87.38,9.7,0.0156,-0.3661,2.07,0.0042,-0.2625,99616000.0,15779800000.0,1.32,-0.1573,0.0156
57,MWET4,6.91,-0.37,-0.07,0.82,0.0,0.081,-0.11,-1.21,-0.04,-7.4,-11.97,-0.0674,-0.2236,0.25,-0.0821,0.1807,849483.0,-215261000.0,-0.35,0.0836,-0.0674
58,PLAS3,4.7,1.84,-0.43,1.61,0.0,0.101,-0.47,-1.05,-0.1,-3.68,12.98,-0.1535,0.0875,0.45,-0.105,-0.2329,25706.3,-136260000.0,-1.23,-0.0144,-0.1535
59,RSUL4,145.93,4.76,14.52,5.25,0.0,0.434,-1.65,3.71,-0.66,3.81,3.09,0.1415,0.1104,0.54,0.1216,3.0514,2787.42,5859000.0,0.72,0.1214,0.1415
60,RAPT3,9.0,16.41,1.78,6.54,0.028999999999999998,0.451,1.22,7.67,-7.66,10.5,7.39,0.0853,0.0477,2.52,0.0938,0.1087,99921.8,1744560000.0,1.91,0.1618,0.0853
61,LEVE3,17.26,18.85,1.7,10.18,0.037000000000000005,0.858,4.1,8.41,21.37,9.11,6.58,0.121,0.0527,1.63,0.1328,0.0903,9035560.0,1300220000.0,0.49,-0.0012,0.121
62,RAPT4,11.21,20.44,2.22,8.15,0.0233,0.561,1.52,9.55,-9.54,12.38,8.72,0.0853,0.0477,2.52,0.0938,0.1087,34452000.0,1744560000.0,1.91,0.1618,0.0853
63,POMO3,2.67,22.87,1.02,6.33,0.038599999999999995,0.435,1.85,11.84,-9.97,17.95,12.48,0.0535,0.0266,1.82,0.0461,0.0448,838291.0,2469380000.0,0.86,0.1481,0.0535
64,POMO4,2.79,23.9,1.07,6.62,0.0369,0.455,1.94,12.37,-10.42,18.48,12.85,0.0535,0.0266,1.82,0.0461,0.0448,28800600.0,2469380000.0,0.86,0.1481,0.0535
65,FRAS3,5.11,40.06,1.33,8.39,0.0141,0.561,1.75,11.07,-9.51,13.37,7.46,0.0758,0.0145,2.66,0.0687,0.0332,475599.0,835771000.0,0.79,0.1363,0.0758
66,FRIO3,89.98,-3.22,-11.86,2.64,0.0,0.207,-201.61,6.56,-0.8,22.18,11.55,0.0402,-0.076,1.0,0.0526,3.6784,2535.65,-31172000.0,-40.41,0.0939,0.0402
67,NORD3,5.4,-0.11917799999999999,-0.26,230.97,0.0,2.1,-0.74,-51.3,-0.23,-104.53,-104.53,-0.4503,-0.0019,0.02,-0.0419,0.0,22519.0,-139342000.0,-0.27,1.166,-0.4503
68,TASA4,6.4,-4.63,-1.54,4.58,0.0,0.461,4.85,3.46,-0.73,8.36,7.47,0.1324,-0.0989,1.17,0.1605,0.3325,9156140.0,-367967000.0,-2.47,0.083,0.1324
69,TASA3,5.7,-4.12,-1.37,4.08,0.0,0.411,4.32,3.08,-0.65,7.98,7.13,0.1324,-0.0989,1.17,0.1605,0.3325,710562.0,-367967000.0,-2.47,0.083,0.1324
70,LUPA3,2.37,-0.85,0.81,46.37,0.0,0.121,0.47,-1.86,-0.26,-6.8,-9.52,-2.4989,-5.3334,2.91,-0.0669,-0.9513,1517350.0,75601000.0,2.19,-0.4297,-2.4989
71,BDLL3,24.0,-0.2,-0.34,9.33,0.0,0.052,-0.19,-0.97,-0.07,-6.91,-8.36,-0.9599,-4.7275,0.6,-0.065,1.7342,1283.49,-112189000.0,-2.11,-0.4354,-0.9599
72,INEP3,6.19,-0.11,-0.03,38.64,0.0,0.036,-0.03,-0.16,-0.02,-2.17,-2.25,-24.8673,-34.3224,0.12,-0.253,0.2302,24668.3,-2016000000.0,-0.33,-0.5236,-24.8673
73,INEP4,5.63,-0.1,-0.02,35.14,0.0,0.033,-0.02,-0.14,-0.01,-2.15,-2.24,-24.8673,-34.3224,0.12,-0.253,0.2302,55718.2,-2016000000.0,-0.33,-0.5236,-24.8673
74,BDLL4,8.0,-0.07,-0.11,3.11,0.0,0.017,-0.06,-0.32,-0.02,-6.26,-7.57,-0.9599,-4.7275,0.6,-0.065,1.7342,61050.9,-112189000.0,-2.11,-0.4354,-0.9599
75,MTSA4,23.95,5.5,0.81,7.15,0.0334,0.573,1.13,9.71,1.21,8.12,5.72,0.0736,0.1299,2.96,0.0774,0.1466,191965.0,271320000.0,0.16,0.0993,0.0736
76,ROMI3,12.4,7.88,0.96,9.29,0.1008,0.507,2.01,12.9,5.06,17.71,11.29,0.072,0.1182,1.79,0.0454,0.1222,3485780.0,809051000.0,0.53,0.0729,0.072
77,EALT4,5.35,8.08,0.71,4.6,0.011200000000000002,0.294,-68.16,4.97,-1.84,7.98,5.53,0.0927,0.057,0.99,0.0678,0.0883,230807.0,168715000.0,0.65,0.2304,0.0927
78,SHUL4,11.88,13.13,1.62,11.16,0.0177,0.675,1.86,14.22,12.54,16.72,10.67,0.0784,0.085,2.33,0.0733,0.1232,2687630.0,656151000.0,1.03,0.1894,0.0784
79,BALM4,11.78,16.59,1.09,7.84,0.022099999999999998,0.566,1.93,12.75,3.39,14.71,11.09,0.0615,0.0333,1.91,0.0504,0.066,171680.0,105487000.0,0.32,0.0714,0.0615
80,KEPL3,44.13,19.05,2.36,21.1,0.0089,1.594,8.4,22.29,11.16,20.9,13.37,0.0946,0.1108,1.68,0.0929,0.1241,5238680.0,491331000.0,0.12,-0.0092,0.0946
81,EALT3,13.1,19.78,1.75,11.27,0.0042,0.72,-166.9,12.16,-4.5,15.17,10.52,0.0927,0.057,0.99,0.0678,0.0883,30657.0,168715000.0,0.65,0.2304,0.0927
82,BALM3,16.72,23.54,1.55,11.12,0.015600000000000001,0.803,2.73,18.09,4.81,20.06,15.12,0.0615,0.0333,1.91,0.0504,0.066,36629.5,105487000.0,0.32,0.0714,0.0615
83,WEGE3,66.43,74.43,13.45,93.52,0.0067,7.742,22.71,55.02,40.43,54.74,47.02,0.17,0.1281,2.31,0.1781,0.1808,350041000.0,10362300000.0,0.21,0.1189,0.17
84,PRNR3,9.95,-21.52,1.73,12.94,0.0,1.095,2.13,-46.38,3.17,-37.75,25.14,-0.0279,-0.0793,3.56,-0.043,-0.0803,3735600.0,219095000.0,0.36,0.0034,-0.0279
85,DTCY3,7.3,-7.84,9.41,34.84,0.0,1.86,-8.78,-21.08,-3.54,-20.87,104.43,-0.1652,-0.4445,0.57,-0.1059,-1.2008,38183.8,6041000.0,0.39,0.0427,-0.1652
86,VLID3,10.58,-6.75,0.65,3.77,0.0662,0.249,1.83,5.68,-1.66,11.81,5.75,0.0665,-0.0573,1.42,0.058,-0.097,10509300.0,1151140000.0,1.19,0.0368,0.0665
87,ALPK3,9.69,0.0,2.45,0.0,0.0,0.598,-3.27,0.0,-0.98,0.0,0.0,0.0,0.0,0.44,0.0,0.0,448634.0,766581000.0,2.15,0.0,0.0
88,CARD3,16.76,18.33,2.56,15.64,0.016200000000000003,1.317,37.74,12.5,-8.34,13.34,6.53,0.1251,0.0853,1.12,0.1393,0.1399,4110690.0,273147000.0,0.45,-0.0223,0.1251
89,WLMM3,17.0,11.46,1.41,5.96,0.018799999999999997,1.071,3.69,11.31,5.31,9.68,9.08,0.0527,0.052,2.92,0.1228,0.1229,70.77,439677000.0,0.07,0.266,0.0527
90,WLMM4,18.74,12.63,1.55,6.57,0.018799999999999997,1.18,4.07,12.47,5.85,10.84,10.17,0.0527,0.052,2.92,0.1228,0.1229,7039.14,439677000.0,0.07,0.266,0.0527
91,GFSA3,5.26,-280.28,0.88,28.51,0.0,0.365,1.16,26.49,2.5,29.16,23.32,0.1076,-0.0115,1.76,0.0183,-0.0031,49727900.0,1175850000.0,0.57,-0.2438,0.1076
92,RDNI3,10.59,-108.05,0.77,13.48,0.0009,0.297,1.69,22.31,-1.41,40.11,32.65,0.0604,-0.0092,1.79,0.0144,-0.0071,528513.0,603221000.0,0.76,-0.0911,0.0604
93,TCNO3,2.15,-49.25,53.91,0.0,0.0,0.061,0.0,-2.34,0.0,-7.84,-9.07,0.0,0.0,0.0,0.0,-1.0947,98211.9,264000.0,0.0,-0.7186,0.0
94,LPSB3,5.0,-46.37,4.59,50.71,0.0,1.978,6.48,33.53,-17.17,27.41,14.29,0.1512,-0.0375,2.92,0.0971,-0.099,9272590.0,160774000.0,0.03,-0.0322,0.1512
95,TCNO4,1.52,-34.82,38.12,0.0,0.0,0.043,0.0,-1.65,0.0,-7.16,-8.27,0.0,0.0,0.0,0.0,-1.0947,148895.0,264000.0,0.0,-0.7186,0.0
96,MILS3,6.79,-34.67,1.56,28.86,0.0,1.171,5.94,-49.78,19.08,-48.38,12.1,-0.058,-0.0832,2.7,-0.0301,-0.0451,18175500.0,1093250000.0,0.22,0.0059,-0.058
97,HBOR3,12.79,-27.27,1.39,14.74,0.0,0.385,0.78,-47.61,5.19,-73.37,-92.4,-0.031,-0.0552,3.24,-0.0095,-0.0509,59289400.0,1233690000.0,1.24,0.032,-0.031
98,CRDE3,21.98,-15.37,0.44,84.26,0.6575,0.382,2.73,-11.29,4.31,-6.11,-6.12,-0.7463,-0.622,2.82,-0.0419,-0.0285,67152.5,121435000.0,0.0,-0.1708,-0.7463
99,MDNE3,9.18,-4.53,0.79,29.31,0.0,0.368,1.32,45.89,-12.72,53.02,44.41,0.0639,-0.6759,2.21,0.0086,-0.1739,6763400.0,988742000.0,0.23,-0.239,0.0639
100,TCSA3,12.79,-4.47,1.12,33.14,0.0,0.581,3.79,-10.11,-4.48,-11.21,-12.24,-0.3278,-0.7595,1.78,-0.0674,-0.25,25969100.0,841805000.0,0.4,-0.2103,-0.3278
101,JFEN3,4.33,-1.12,1.36,46.12,0.0,0.26,0.94,-3.09,-5.65,-7.18,-7.25,-1.4916,-4.331,1.52,-0.0878,-1.209,96673.7,336159000.0,1.84,-0.4176,-1.4916
102,VIVR3,1.42,-0.82,-0.88,-20.43,0.0,0.279,-0.54,-2.26,-0.3,-5.47,-5.72,0.9025,2.4755,0.44,-0.1305,1.0627,2028060.0,-154240000.0,-1.32,-0.4971,0.9025
103,RSID3,5.9,-0.46,-0.16,20.9,0.0,0.053,-0.09,-1.23,-0.05,-17.41,-18.86,-1.7006,-4.6929,0.4,-0.0488,0.34,1338420.0,-651709000.0,-2.11,-0.5333,-1.7006
104,BBRK3,1.84,-0.44,0.4,5.67,0.0,0.215,2.31,-2.33,-1.66,-0.64,-1.11,-0.2433,-1.1477,1.48,-0.1107,-0.9091,1534220.0,166355000.0,0.0,0.0222,-0.2433
105,PDGR3,4.02,-0.04,-0.01,1.59,0.0,0.018,-0.01,-0.39,-0.01,-19.82,-20.51,-0.4069,-3.8281,0.36,-0.0528,0.1479,413789.0,-5225500000.0,-0.33,-0.2915,-0.4069
106,AZEV4,3.9,0.28,-0.08,-4.54,0.0,0.372,-0.11,0.74,-0.08,1.93,1.93,-0.6154,-1.65,0.14,1.0812,-0.3071,141025.0,-248956000.0,-0.14,-0.4944,-0.6154
107,AZEV3,11.63,0.82,-0.25,-13.55,0.0,1.11,-0.34,2.2,-0.23,3.39,3.39,-0.6154,-1.65,0.14,1.0812,-0.3071,91480.1,-248956000.0,-0.14,-0.4944,-0.6154
108,HAGA4,1.87,6.13,-0.29,10.26,0.0,0.396,1.05,-19.51,-0.25,-20.83,44.29,-0.0526,0.1674,1.86,-0.0633,-0.0469,660857.0,-77360400.0,-0.5,-0.0545,-0.0526
109,ETER3,4.87,6.27,6.06,5.03,0.0,0.427,7.48,-7.92,-0.89,-9.87,-26.15,-0.0635,0.08,1.15,-0.0648,0.9665,5492930.0,41532000.0,2.33,-0.1416,-0.0635
110,JHSF3,7.36,8.69,1.56,63.76,0.0187,0.793,8.04,15.76,-2.5,18.05,16.66,0.4046,0.731,2.44,0.0552,0.1789,131406000.0,3243960000.0,0.4,0.1373,0.4046
111,PTBL3,4.5,9.03,1.73,6.4,0.0088,0.363,4.14,-245.26,-1.01,-406.08,22.37,-0.0026,0.071,1.25,-0.0019,0.192,7153520.0,411329000.0,1.82,0.0379,-0.0026
112,HAGA3,3.04,9.96,-0.47,16.67,0.0,0.643,1.7,-31.72,-0.41,-33.04,70.25,-0.0526,0.1674,1.86,-0.0633,-0.0469,55483.7,-77360400.0,-0.5,-0.0545,-0.0526
113,SOND6,36.0,14.3,1.6,13.52,0.0253,1.126,2.69,14.42,3.85,9.66,7.54,0.0938,0.0946,3.49,0.1269,0.1117,1497.3,55393000.0,0.0,-0.1202,0.0938
114,TRIS3,12.23,14.92,2.07,28.36,0.0351,1.164,2.44,14.15,4.04,14.32,14.21,0.2005,0.2046,3.15,0.1046,0.1384,26413600.0,1104980000.0,0.36,0.2594,0.2005
115,TEND3,31.17,16.37,2.31,16.31,0.011000000000000001,0.786,1.6,10.23,9.12,9.64,8.7,0.1595,0.0996,2.94,0.1247,0.1412,36329900.0,1407140000.0,0.96,0.2159,0.1595
116,MRVE3,18.54,17.03,1.63,14.52,0.0368,0.522,1.75,11.38,-3.15,15.34,13.71,0.1276,0.0981,2.53,0.0523,0.096,86509500.0,5465130000.0,0.89,0.0994,0.1276
117,SOND5,55.0,21.85,2.44,20.66,0.0166,1.72,4.1,22.03,5.88,17.27,13.49,0.0938,0.0946,3.49,0.1269,0.1117,2207.67,55393000.0,0.0,-0.1202,0.0938
118,DIRR3,14.41,22.53,1.7,15.41,0.0347,0.458,1.21,9.9,-2.18,10.29,8.86,0.1557,0.0829,4.24,0.0571,0.0755,21548200.0,1299540000.0,0.71,0.0217,0.1557
119,EVEN3,13.09,25.17,1.62,17.14,0.0111,0.576,1.12,18.8,3.27,20.92,20.12,0.0912,0.0851,3.02,0.0373,0.0645,40571100.0,1709090000.0,0.66,-0.0388,0.0912
120,CYRE3,23.65,27.06,1.95,25.07,0.054900000000000004,0.867,2.79,22.39,34.95,25.51,23.82,0.112,0.1251,2.36,0.0461,0.0719,194407000.0,4857670000.0,0.6,0.0325,0.112
121,EZTC3,39.22,28.3,2.28,99.03,0.0075,2.02,4.95,43.73,5.25,37.37,35.21,0.2264,0.3633,6.15,0.0663,0.0805,121322000.0,3907800000.0,0.0,0.0616,0.2264
122,MTRE3,14.8,109.25,1.61,52.91,0.0,1.273,1.76,62.27,1.97,31.81,29.62,0.085,0.0486,6.41,0.0646,0.0148,11166400.0,970757000.0,0.07,0.0,0.085
123,STBP3,5.37,-794.35,2.71,38.71,0.0033,1.105,13.03,94.95,-2.58,97.17,20.47,0.0408,-0.0049,2.06,0.0133,-0.0034,16280300.0,1324970000.0,0.33,0.036,0.0408
124,ECOR3,13.02,-36.87,11.82,18.3,0.0,0.635,-10.95,5.82,-0.81,11.35,7.75,0.3145,-0.0496,0.73,0.127,-0.3206,65406700.0,615303000.0,13.72,0.08,0.3145
125,LOGN3,18.47,-14.63,9.59,18.56,0.0,0.978,3.24,22.34,-2.26,31.19,13.05,0.0831,-0.1269,2.85,0.0714,-0.6556,16378700.0,203158000.0,7.04,0.0462,0.0831
126,TPIS3,1.26,-4.13,0.32,2.18,0.0,0.061,-0.28,-36.93,-0.08,-335.16,5.14,-0.0059,-0.0743,0.24,-0.0017,-0.0764,1007360.0,701690000.0,2.71,-0.1527,-0.0059
127,GOLL4,17.55,-1.5,-0.48,5.67,0.0,0.423,-0.74,8.31,-0.27,20.41,5.73,0.0682,-0.3624,0.32,0.0659,0.3211,196580000.0,-13002600000.0,-0.84,0.0439,0.0682
128,AZUL4,21.59,-0.61,-0.58,7.79,0.0,0.487,-1.18,-2.7,-0.3,-9.13,22.12,-0.2884,-1.2836,0.36,-0.2502,0.9628,294766000.0,-12648200000.0,-1.52,0.0612,-0.2884
