,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
284,ALUP4,698,974.0,116.0,1259.0,"3,30%",307,266.0,293,-80.0,567,532,"42,99%","27,20%",217,"12,41%","11,86%",221.96400,5.311.410.00000,160,"35,00%"
285,CSRN5,1740,977.0,240.0,1154.0,"1,04%",654,654.0,652,-133.0,982,806,"17,70%","11,81%",174,"11,48%","24,56%",37465,1.219.000.00000,150,"11,46%"
286,EKTR3,2499,977.0,169.0,734.0,"0,00%",547,2351.0,464,-159.0,817,674,"15,80%","7,51%",107,"13,86%","17,35%",84956,2.857.000.00000,155,"8,95%"
287,CSRN3,1789,1004.0,247.0,1186.0,"0,92%",672,673.0,670,-137.0,1000,821,"17,70%","11,81%",174,"11,48%","24,56%",3.91644,1.219.000.00000,150,"11,46%"
288,NEOE3,1890,1034.0,114.0,815.0,"2,16%",378,674.0,479,-94.0,934,708,"17,02%","8,14%",128,"9,09%","11,04%",53.753.10000,20.081.000.00000,135,"20,41%"
289,NEOE3,1890,1034.0,114.0,815.0,"2,16%",378,674.0,479,-94.0,934,708,"17,02%","8,14%",128,"9,09%","11,04%",53.753.10000,20.081.000.00000,135,"20,41%"
290,ALUP11,2352,1094.0,130.0,1415.0,"2,93%",345,298.0,329,-89.0,603,566,"42,99%","27,20%",217,"12,41%","11,86%",20.760.20000,5.311.410.00000,160,"35,00%"
291,CEEB5,4003,1126.0,185.0,1046.0,"0,00%",501,1036.0,618,-104.0,1077,819,"16,92%","9,29%",124,"8,97%","16,39%",75254,5.684.000.00000,158,"10,91%"
292,CPFE3,2855,1150.0,224.0,1111.0,"6,31%",645,998.0,703,-166.0,1032,788,"15,79%","10,03%",125,"11,71%","19,48%",79.531.60000,14.677.800.00000,162,"13,06%"
293,CEEB3,4100,1153.0,189.0,1072.0,"1,22%",513,1061.0,633,-106.0,1092,830,"16,92%","9,29%",124,"8,97%","16,39%",3.92044,5.684.000.00000,158,"10,91%"
294,COCE5,6140,1246.0,152.0,847.0,"3,46%",504,-3114.0,851,-135.0,1301,853,"9,95%","6,80%",95,"6,67%","12,21%",4.012.78000,3.142.550.00000,91,"9,57%"
295,EMAE4,2990,1265.0,108.0,2543.0,"2,63%",704,195.0,3464,835.0,2179,1836,"7,34%","20,09%",585,"2,94%","8,57%",136.99700,1.018.770.00000,7,"24,59%"
296,CEBR5,9499,1292.0,172.0,495.0,"4,13%",385,1009.0,823,-146.0,865,641,"6,02%","4,96%",109,"5,65%","13,34%",4.05967,794.301.00000,58,"5,48%"
297,EQPA3,347,1326.0,228.0,1372.0,"2,31%",668,291.0,590,-199.0,755,604,"23,24%","10,35%",261,"14,31%","17,23%",150.95400,3.356.070.00000,120,"7,41%"
298,EGIE3,4311,1334.0,473.0,3328.0,"5,47%",1093,1359.0,872,-211.0,1174,953,"38,15%","24,96%",147,"15,06%","35,49%",86.994.50000,7.430.560.00000,229,"14,06%"
299,CMIG4,1065,1345.0,96.0,661.0,"4,73%",308,317.0,462,-75.0,815,639,"14,31%","4,92%",156,"7,43%","7,13%",112.336.00000,16.872.600.00000,94,"7,34%"
300,CMIG3,1083,1368.0,97.0,673.0,"4,65%",313,322.0,470,-77.0,823,645,"14,31%","4,92%",156,"7,43%","7,13%",18.315.70000,16.872.600.00000,94,"7,34%"
301,ALUP3,984,1373.0,163.0,1775.0,"2,34%",432,374.0,413,-112.0,687,645,"42,99%","27,20%",217,"12,41%","11,86%",170.85100,5.311.410.00000,160,"35,00%"
302,GEPA3,4150,1378.0,223.0,2763.0,"7,99%",866,-1467.0,748,-303.0,752,530,"36,95%","20,06%",85,"24,01%","16,16%",8.83474,1.760.330.00000,72,"1,77%"
303,ENMT4,2990,1425.0,281.0,1350.0,"0,10%",752,1267.0,882,-196.0,1318,1028,"15,31%","9,48%",121,"10,34%","19,69%",3.48653,2.333.400.00000,189,"10,26%"
304,ENMT3,2990,1425.0,281.0,1350.0,"2,31%",752,1267.0,882,-196.0,1318,1028,"15,31%","9,48%",121,"10,34%","19,69%",4.43902,2.333.400.00000,189,"10,26%"
305,TIET4,298,1498.0,382.0,2940.0,"7,91%",701,-6437.0,726,-134.0,1054,760,"40,48%","19,63%",96,"15,90%","25,50%",5.097.92000,1.556.800.00000,304,"9,11%"
306,TIET11,1493,1501.0,383.0,2946.0,"7,89%",703,-6450.0,728,-134.0,1056,761,"40,48%","19,63%",96,"15,90%","25,50%",40.604.30000,1.556.800.00000,304,"9,11%"
